150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,
,Indeks Harga Konsumen 150 Kabupaten/Kota (2022=100),,,,,,,,,,,,
KAB KERINCI,111.71,112.91,114.35,-,-,-,-,-,-,-,-,-,-
MUARA BUNGO,111.3,112.34,112.59,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,109.3,109.72,109.48,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,112.05,112.72,113.13,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,112.29,113.01,113.28,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,109.48,110.12,110.43,-,-,-,-,-,-,-,-,-,-
KOTA LUBUK LINGGAU,108.55,108.99,109.28,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,107.85,108.77,109.65,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,108.15,108.8,108.91,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,112.81,112.98,113.03,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,113.55,113.92,114.83,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,108.06,108.54,108.76,-,-,-,-,-,-,-,-,-,-
KOTA METRO,108.28,108.8,108.99,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,108.86,107.16,107.35,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,106.36,105.54,106.51,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,107.24,107.23,107.56,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,107.65,107.18,107.4,-,-,-,-,-,-,-,-,-,-
KAB KARIMUN,108.58,108.59,109.2,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,111.63,112.08,112.2,-,-,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,108.57,109.64,109.23,-,-,-,-,-,-,-,-,-,-
KOTA JAKARTA,108.22,108.9,109.45,-,-,-,-,-,-,-,-,-,-
KAB BANDUNG,110.02,111.08,111.73,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,110.18,111.12,111.81,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,111.14,112.12,112.87,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,110.24,111.24,111.82,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,110.95,111.78,112.29,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,109.36,110.07,110.54,-,-,-,-,-,-,-,-,-,-
KOTA CIREBON,107.78,108.64,109.38,-,-,-,-,-,-,-,-,-,-
KOTA BEKASI,110.83,111.75,112.19,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,109.32,110.03,110.72,-,-,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,109.64,110.7,111.19,-,-,-,-,-,-,-,-,-,-
CILACAP,109.3,110.17,110.94,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,108.54,109.39,110.13,-,-,-,-,-,-,-,-,-,-
KAB WONOSOBO,111.31,112.16,113.19,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,110.05,110.92,111.88,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,112.83,113.77,114.37,-,-,-,-,-,-,-,-,-,-
KUDUS,109.66,110.47,110.99,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,109.64,110.63,111.16,-,-,-,-,-,-,-,-,-,-
KOTA SEMARANG,108.83,109.56,109.97,-,-,-,-,-,-,-,-,-,-
KOTA TEGAL,110.34,111.29,111.89,-,-,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,108.75,109.47,110.07,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,110.97,111.77,112.14,-,-,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,110.61,111.75,112.28,-,-,-,-,-,-,-,-,-,-
JEMBER,109.74,110.99,111.71,-,-,-,-,-,-,-,-,-,-
BANYUWANGI,110.76,111.8,112.21,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,111.19,112.2,112.93,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,107.83,108.65,109.72,-,-,-,-,-,-,-,-,-,-
SUMENEP,114.21,115.44,116.47,-,-,-,-,-,-,-,-,-,-
KOTA KEDIRI,109.01,109.96,110.41,-,-,-,-,-,-,-,-,-,-
KOTA MALANG,109.84,110.65,111.03,-,-,-,-,-,-,-,-,-,-
KOTA PROBOLINGGO,110.4,111.64,112.41,-,-,-,-,-,-,-,-,-,-
KOTA MADIUN,108.66,109.46,110,-,-,-,-,-,-,-,-,-,-
KOTA SURABAYA,110.1,111.19,111.34,-,-,-,-,-,-,-,-,-,-
KAB PANDEGLANG,109.13,110.92,112.08,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,109.72,111.39,112.08,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,108.77,109.47,109.86,-,-,-,-,-,-,-,-,-,-
KOTA CILEGON,109.89,110.82,111.09,-,-,-,-,-,-,-,-,-,-
KOTA SERANG,109.66,110.46,110.8,-,-,-,-,-,-,-,-,-,-
KAB TABANAN,112.93,113.47,114.19,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,107.68,108.8,109.34,-,-,-,-,-,-,-,-,-,-
SINGARAJA,109.91,110.76,111.76,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,111.75,112.39,112.86,-,-,-,-,-,-,-,-,-,-
KAB SUMBAWA,110.86,111.6,112.62,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,110.21,111.27,112.22,-,-,-,-,-,-,-,-,-,-
KOTA BIMA,111.05,112.06,112.38,-,-,-,-,-,-,-,-,-,-
WAINGAPU,111.52,112.29,112.33,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,110.48,110.51,110.93,-,-,-,-,-,-,-,-,-,-
MAUMERE,111.47,111.65,111.67,-,-,-,-,-,-,-,-,-,-
KAB NGADA,108.79,108.83,109.13,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,109.08,109.85,110.1,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,111.16,111.66,111.9,-,-,-,-,-,-,-,-,-,-
SINTANG,109.05,109.66,109.88,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,109.64,110.03,110.44,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,108,108.62,108.81,-,-,-,-,-,-,-,-,-,-
KOTA SINGKAWANG,108.32,108.89,109.49,-,-,-,-,-,-,-,-,-,-
SAMPIT,109.12,109.79,110.26,-,-,-,-,-,-,-,-,-,-
KAB KAPUAS,111.71,112.46,113.46,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,111.49,112.34,112.44,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKARAYA,110,110.19,110.67,-,-,-,-,-,-,-,-,-,-
KAB TANAH LAUT,109.7,110.9,112.18,-,-,-,-,-,-,-,-,-,-
KOTABARU,110.46,111.12,111.45,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,113.33,114.26,114.69,-,-,-,-,-,-,-,-,-,-
TANJUNG,110.51,111.99,112.49,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,111.57,112.42,112.81,-,-,-,-,-,-,-,-,-,-
KAB BERAU,109.94,110.11,110.95,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,109.12,110.09,111.29,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,109.94,110.76,111.33,-,-,-,-,-,-,-,-,-,-
KOTA SAMARINDA,109.82,110.43,111.38,-,-,-,-,-,-,-,-,-,-
TANJUNG SELOR,107.79,108.39,108.83,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,110.23,110.5,111.09,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,107.84,108.47,109.15,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,109.67,111.32,111.78,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,112.07,113.7,113.3,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,108.22,109.03,109.38,-,-,-,-,-,-,-,-,-,-
KOTA KOTAMOBAGU,110.85,112.1,112.91,-,-,-,-,-,-,-,-,-,-
LUWUK,113.6,114.64,115.06,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,109.64,110.26,110.94,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,116.03,117.87,118.22,-,-,-,-,-,-,-,-,-,-
KOTA PALU,109.21,109.93,110.29,-,-,-,-,-,-,-,-,-,-
BULUKUMBA,108.83,109.52,109.9,-,-,-,-,-,-,-,-,-,-
WATAMPONE,109.18,109.7,110.58,-,-,-,-,-,-,-,-,-,-
KAB WAJO,110.14,111.33,112.37,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,108.33,109.37,109.76,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,110.69,111.39,112.58,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,109.88,111.23,111.86,-,-,-,-,-,-,-,-,-,-
KOTA PARE PARE,111.21,111.93,112.48,-,-,-,-,-,-,-,-,-,-
KOTA PALOPO,109.02,109.55,109.77,-,-,-,-,-,-,-,-,-,-
KAB KONAWE,109.58,109.89,111.14,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,112.65,113.83,114.72,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,109.52,109.94,110.3,-,-,-,-,-,-,-,-,-,-
KOTA BAU BAU,111.04,112.64,111.8,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,111.39,112.4,112.59,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,107.5,108.28,108.66,-,-,-,-,-,-,-,-,-,-
KAB MAJENE,109.1,109.57,110.12,-,-,-,-,-,-,-,-,-,-
MAMUJU,111.93,112.01,111.4,-,-,-,-,-,-,-,-,-,-
KAB MALUKU TENGAH,111.04,112.38,110.81,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,111.9,112.24,111.76,-,-,-,-,-,-,-,-,-,-
KOTA TUAL,113.29,112.47,112.89,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,109.43,110,110.82,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,112.21,113.22,112.29,-,-,-,-,-,-,-,-,-,-
MANOKWARI,110.76,110.04,110.1,-,-,-,-,-,-,-,-,-,-
KAB SORONG,106.22,106.27,106.67,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,111.92,111.8,112.02,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,107.9,107.03,108.48,-,-,-,-,-,-,-,-,-,-
KOTA JAYAPURA,107.95,108.02,108.78,-,-,-,-,-,-,-,-,-,-
MERAUKE,112.26,112.92,113.32,-,-,-,-,-,-,-,-,-,-
TIMIKA,113.09,113.45,113.75,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,115.65,114.83,115.14,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,115.34,115.9,118.88,-,-,-,-,-,-,-,-,-,-
INDONESIA,109.75,110.5,110.95,-,-,-,-,-,-,-,-,-,-
