150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,
,Indeks Harga Konsumen 150 Kabupaten/Kota (2022=100),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,117.8,117.24,116.58,-,-,-,-,-,-,-,-,-,-
MEULABOH,114.15,114.7,114.81,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,116.02,114.12,114.64,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,111.98,112.45,112.58,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,113.16,113.1,113.22,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,114.71,115.62,114.96,-,-,-,-,-,-,-,-,-,-
KAB KARO,111.23,111.21,110.79,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,111.19,111.1,110.81,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,114.33,115.09,114.86,-,-,-,-,-,-,-,-,-,-
KOTA PEMATANGSIANTAR,113.87,114.52,114.5,-,-,-,-,-,-,-,-,-,-
KOTA MEDAN,110.74,111.1,111.09,-,-,-,-,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,113.16,113.15,113.14,-,-,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,116.41,115.4,114.9,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,111.6,112.55,113.05,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,113.05,112.9,112.84,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,110.52,110.87,110.85,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,110.88,111.43,111.61,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,112.18,113.24,113.43,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,112.54,112.9,112.64,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,111.18,111.45,111.24,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,111.77,112.33,112.01,-,-,-,-,-,-,-,-,-,-
