90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,110.34,110.32,110.77,110.79,110.72,110.47,110.27,110.22,110.18,110.18,110.23,110.26,-,104.37,104.37,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,-,126.57,126.43,126.06,126.17,125.8,124.59,124.65,124.46,124.26,124.25,124.51,124.68,-,100,100,100,100,100,100,100,100,100,100,100,100,-,109.33,109.33,109.33,109.33,109.33,109.33,108.68,108.63,108.63,108.63,108.63,108.63,-
KOTA BANDA ACEH,110.41,110.44,110.43,110.46,110.44,110.43,110.15,110.06,110.08,110.13,110.13,110.1,-,109.53,109.53,109.53,109.53,109.53,109.53,109.53,109.53,109.53,109.62,109.62,109.62,-,125.94,126.33,126.23,126.53,126.38,126.26,126.13,126,126.31,126.31,126.31,125.91,-,100,100,100,100,100,100,100,100,100,100,100,100,-,110.83,110.83,110.83,110.83,110.83,110.83,109.92,109.62,109.62,109.62,109.62,109.62,-
KOTA LHOKSEUMAWE,106.16,106.45,106.4,106.4,106.31,106.32,106.2,106.2,106.38,106.44,106.37,106.37,-,102.79,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,-,114.86,114.86,114.62,114.62,114.11,114.11,114.11,114.11,115.02,115.37,114.98,114.98,-,100,100,100,100,100,100,100,100,100,100,100,100,-,108.41,108.41,108.41,108.41,108.41,108.5,107.92,107.92,107.92,107.92,107.92,107.92,-
KOTA SIBOLGA,103.73,103.73,104.55,104.55,104.55,104.55,104.65,104.97,104.97,104.97,104.97,105.12,-,104.71,104.71,104.71,104.71,104.71,104.71,104.98,105.81,105.81,105.81,105.81,105.81,-,113.14,113.13,113.04,113.04,113.04,113.04,113.04,113.04,113.04,113.04,113.04,113.04,-,100,100,103.78,103.78,103.78,103.78,103.78,103.78,103.78,103.78,103.78,103.78,-,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,103.6,104.03,-
KOTA PEMATANG SIANTAR,104.4,104.72,105.06,104.88,105.18,105.23,105.29,105.33,105.37,105.37,105.43,105.46,-,110.48,111.24,111.24,111.24,112.2,112.2,112.43,112.57,112.71,112.76,112.76,112.9,-,110.16,110.06,112.95,111.35,111.35,111.35,111.35,111.35,111.33,111.29,111.78,111.78,-,100,100,100,100,100,100,100,100,100,100,100,100,-,101.4,101.72,101.78,101.78,101.9,102.03,102.03,102.03,102.03,102.03,102.03,102.03,-
KOTA MEDAN,104.8,105.08,105.08,105.08,105.07,105.07,105.13,105.18,105.19,105.3,105.3,105.63,-,106.5,107.02,107.02,107.02,107.02,107.02,107.12,107.12,107.12,107.12,107.12,107.71,-,109.79,109.68,109.68,109.7,109.66,109.66,109.66,110.32,110.32,110.46,110.46,110.66,-,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,-,101.82,101.85,101.85,101.85,101.85,101.85,101.85,101.83,101.87,102.26,102.26,102.26,-
KOTA PADANGSIDIMPUAN,105.05,105.11,105.13,105.36,106.39,105.9,106.28,106.96,106.83,106.45,106.47,106.46,-,110.37,110.37,110.37,110.37,110.37,110.37,110.37,110.55,110.55,110.55,110.55,110.55,-,112.59,112.59,112.73,112.64,112.87,113.59,113.62,113.29,114.63,114.67,114.81,114.72,-,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,104.18,-,97.63,97.78,97.76,98.35,100.74,99.21,100.11,101.79,100.83,99.89,99.87,99.9,-
