150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB PASAMAN BARAT,101.55,101.63,101.64,-,-,-,-,-,-,-,-,-,-,102.05,102.05,102.05,-,-,-,-,-,-,-,-,-,-,109.83,110.34,110.42,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,98.77,98.93,98.93,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,105.04,106.24,106.25,-,-,-,-,-,-,-,-,-,-,107.87,108.09,108.09,-,-,-,-,-,-,-,-,-,-,100.55,100.71,100.9,-,-,-,-,-,-,-,-,-,-,104.06,118.83,118.83,-,-,-,-,-,-,-,-,-,-,99.82,99.82,99.82,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,102.9,102.89,103.02,-,-,-,-,-,-,-,-,-,-,104.76,104.76,104.76,-,-,-,-,-,-,-,-,-,-,100.87,100.75,100.81,-,-,-,-,-,-,-,-,-,-,103.48,103.48,103.48,-,-,-,-,-,-,-,-,-,-,97.86,97.87,98.39,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,99.97,100.09,100.13,-,-,-,-,-,-,-,-,-,-,100.28,100.28,100.28,-,-,-,-,-,-,-,-,-,-,101.93,102.6,102.68,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,98.95,98.94,98.99,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,103.47,103.96,103.97,-,-,-,-,-,-,-,-,-,-,102.82,102.82,102.82,-,-,-,-,-,-,-,-,-,-,110.15,112.49,112.51,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,100.63,100.63,100.63,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,103.12,103.25,103.58,-,-,-,-,-,-,-,-,-,-,104.55,104.75,104.9,-,-,-,-,-,-,-,-,-,-,100.86,101.13,101.23,-,-,-,-,-,-,-,-,-,-,106.05,106.05,106.05,-,-,-,-,-,-,-,-,-,-,101.74,101.74,102.37,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,102.7,103.02,103.06,-,-,-,-,-,-,-,-,-,-,105.12,105.37,105.37,-,-,-,-,-,-,-,-,-,-,100.63,101.79,101.79,-,-,-,-,-,-,-,-,-,-,114.23,114.23,114.23,-,-,-,-,-,-,-,-,-,-,98.93,99.12,99.2,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,98.78,99.01,99,-,-,-,-,-,-,-,-,-,-,104.65,104.65,104.65,-,-,-,-,-,-,-,-,-,-,106.86,106.86,106.58,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,92.76,93.23,93.33,-,-,-,-,-,-,-,-,-,-
MUARA BUNGO,104.36,104.36,104.36,-,-,-,-,-,-,-,-,-,-,103.06,103.06,103.06,-,-,-,-,-,-,-,-,-,-,104.3,104.26,104.26,-,-,-,-,-,-,-,-,-,-,132.6,132.6,132.6,-,-,-,-,-,-,-,-,-,-,100.82,100.82,100.82,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,104.59,104.68,104.7,-,-,-,-,-,-,-,-,-,-,105.52,105.72,105.72,-,-,-,-,-,-,-,-,-,-,102.79,103,103.15,-,-,-,-,-,-,-,-,-,-,109.24,109.24,109.24,-,-,-,-,-,-,-,-,-,-,102.8,102.8,102.8,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,112.66,112.67,112.8,-,-,-,-,-,-,-,-,-,-,101.89,102.18,102.18,-,-,-,-,-,-,-,-,-,-,108.53,108.53,108.53,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,115.77,115.77,115.97,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,99.74,99.74,99.81,-,-,-,-,-,-,-,-,-,-,104,104,104,-,-,-,-,-,-,-,-,-,-,106.28,106.28,106.6,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,96.33,96.33,96.33,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,103.21,103.21,103.21,-,-,-,-,-,-,-,-,-,-,101.57,101.57,101.57,-,-,-,-,-,-,-,-,-,-,101.63,101.63,101.63,-,-,-,-,-,-,-,-,-,-,114.95,114.95,114.95,-,-,-,-,-,-,-,-,-,-,101.33,101.33,101.33,-,-,-,-,-,-,-,-,-,-
KOTA LUBUK LINGGAU,103.94,103.94,103.97,-,-,-,-,-,-,-,-,-,-,102.46,102.46,102.46,-,-,-,-,-,-,-,-,-,-,105.24,105.24,105.32,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,104.44,104.44,104.48,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,103.9,103.9,103.9,-,-,-,-,-,-,-,-,-,-,104.14,104.14,104.14,-,-,-,-,-,-,-,-,-,-,104.65,104.65,104.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.04,103.04,103.04,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,102.46,102.5,102.81,-,-,-,-,-,-,-,-,-,-,102.58,102.58,103.13,-,-,-,-,-,-,-,-,-,-,105.97,106.02,106.12,-,-,-,-,-,-,-,-,-,-,101.26,101.59,101.93,-,-,-,-,-,-,-,-,-,-,102.03,102.02,102.15,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,102.39,102.6,102.99,-,-,-,-,-,-,-,-,-,-,100.7,100.7,100.7,-,-,-,-,-,-,-,-,-,-,109.23,109.94,111.22,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,99.31,99.31,99.31,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,103.35,103.61,103.75,-,-,-,-,-,-,-,-,-,-,102.4,102.4,102.4,-,-,-,-,-,-,-,-,-,-,99.3,99.94,100.28,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,106.94,106.94,106.94,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,105.72,105.75,105.77,-,-,-,-,-,-,-,-,-,-,107.3,107.3,107.3,-,-,-,-,-,-,-,-,-,-,109.28,109.5,109.61,-,-,-,-,-,-,-,-,-,-,114.59,114.59,114.59,-,-,-,-,-,-,-,-,-,-,101.98,101.98,101.98,-,-,-,-,-,-,-,-,-,-
KOTA METRO,102.49,102.48,102.51,-,-,-,-,-,-,-,-,-,-,101.57,101.57,101.57,-,-,-,-,-,-,-,-,-,-,108.08,107.98,108.19,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.61,101.61,101.61,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,99.64,99.73,99.69,-,-,-,-,-,-,-,-,-,-,100.44,100.44,100.44,-,-,-,-,-,-,-,-,-,-,103.61,104.11,104.39,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,98.58,98.69,98.58,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,102.26,102.26,102.27,-,-,-,-,-,-,-,-,-,-,102.87,102.87,102.87,-,-,-,-,-,-,-,-,-,-,103.57,103.57,103.64,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.69,101.69,101.69,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,101.31,101.31,101.32,-,-,-,-,-,-,-,-,-,-,103.42,103.42,103.42,-,-,-,-,-,-,-,-,-,-,102.1,102.1,102.15,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,100.87,100.87,100.87,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,102.21,102.22,102.24,-,-,-,-,-,-,-,-,-,-,102.05,102.05,102.05,-,-,-,-,-,-,-,-,-,-,100.96,101.01,101.14,-,-,-,-,-,-,-,-,-,-,108.85,108.85,108.85,-,-,-,-,-,-,-,-,-,-,102.21,102.22,102.24,-,-,-,-,-,-,-,-,-,-
KAB KARIMUN,100.42,100.48,100.53,-,-,-,-,-,-,-,-,-,-,102.61,102.61,102.61,-,-,-,-,-,-,-,-,-,-,104.17,104.62,104.98,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,98.49,98.49,98.49,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,107.66,107.66,107.69,-,-,-,-,-,-,-,-,-,-,110.86,110.86,110.86,-,-,-,-,-,-,-,-,-,-,103.59,103.58,103.86,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,107.74,107.74,107.74,-,-,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,102.61,104.38,104.39,-,-,-,-,-,-,-,-,-,-,104.41,104.41,104.41,-,-,-,-,-,-,-,-,-,-,105.5,105.5,105.56,-,-,-,-,-,-,-,-,-,-,100,129.08,129.08,-,-,-,-,-,-,-,-,-,-,100.91,100.91,100.91,-,-,-,-,-,-,-,-,-,-
KOTA JAKARTA,106.22,106.25,106.37,-,-,-,-,-,-,-,-,-,-,104.64,104.64,104.81,-,-,-,-,-,-,-,-,-,-,102.8,103.21,103.95,-,-,-,-,-,-,-,-,-,-,129.62,129.62,129.62,-,-,-,-,-,-,-,-,-,-,102.18,102.18,102.18,-,-,-,-,-,-,-,-,-,-
KAB BANDUNG,104.02,104.02,104.02,-,-,-,-,-,-,-,-,-,-,108.04,108.04,108.04,-,-,-,-,-,-,-,-,-,-,111.38,111.43,111.38,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.81,101.81,101.81,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,101.37,101.36,101.4,-,-,-,-,-,-,-,-,-,-,100.61,100.61,100.61,-,-,-,-,-,-,-,-,-,-,102.27,102.23,102.4,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.35,101.35,101.35,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,105.04,105.12,105.08,-,-,-,-,-,-,-,-,-,-,110.46,110.79,110.79,-,-,-,-,-,-,-,-,-,-,108.24,108.24,108,-,-,-,-,-,-,-,-,-,-,119.43,119.43,119.43,-,-,-,-,-,-,-,-,-,-,99.62,99.62,99.62,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,105.68,105.69,105.68,-,-,-,-,-,-,-,-,-,-,104.28,104.28,104.28,-,-,-,-,-,-,-,-,-,-,106.79,106.95,106.62,-,-,-,-,-,-,-,-,-,-,114.93,114.93,114.93,-,-,-,-,-,-,-,-,-,-,103.82,103.82,103.82,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,102.6,102.74,102.76,-,-,-,-,-,-,-,-,-,-,106.23,106.59,106.59,-,-,-,-,-,-,-,-,-,-,103.65,103.65,103.89,-,-,-,-,-,-,-,-,-,-,100.39,100.39,100.39,-,-,-,-,-,-,-,-,-,-,99.66,99.66,99.66,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,105.11,105.13,105.13,-,-,-,-,-,-,-,-,-,-,106.32,106.32,106.32,-,-,-,-,-,-,-,-,-,-,105.17,105.6,105.65,-,-,-,-,-,-,-,-,-,-,108.85,108.85,108.85,-,-,-,-,-,-,-,-,-,-,103.4,103.4,103.4,-,-,-,-,-,-,-,-,-,-
KOTA CIREBON,104.1,104.1,104.12,-,-,-,-,-,-,-,-,-,-,101.85,101.85,101.85,-,-,-,-,-,-,-,-,-,-,110.16,110.26,110.82,-,-,-,-,-,-,-,-,-,-,129.48,129.48,129.48,-,-,-,-,-,-,-,-,-,-,100.23,100.23,100.23,-,-,-,-,-,-,-,-,-,-
KOTA BEKASI,101.38,101.38,101.38,-,-,-,-,-,-,-,-,-,-,101.2,101.2,101.2,-,-,-,-,-,-,-,-,-,-,101.98,101.99,102,-,-,-,-,-,-,-,-,-,-,104.04,104.04,104.04,-,-,-,-,-,-,-,-,-,-,100.79,100.79,100.79,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,105.02,105.03,105.04,-,-,-,-,-,-,-,-,-,-,106.68,106.68,106.68,-,-,-,-,-,-,-,-,-,-,108.96,109.05,109.24,-,-,-,-,-,-,-,-,-,-,104.29,104.29,104.29,-,-,-,-,-,-,-,-,-,-,102.28,102.28,102.28,-,-,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,103.32,103.26,103.33,-,-,-,-,-,-,-,-,-,-,100.26,100.26,100.26,-,-,-,-,-,-,-,-,-,-,105.72,105.79,105.96,-,-,-,-,-,-,-,-,-,-,130.66,130.66,130.66,-,-,-,-,-,-,-,-,-,-,100.81,100.65,100.76,-,-,-,-,-,-,-,-,-,-
CILACAP,105.11,105.77,105.78,-,-,-,-,-,-,-,-,-,-,108.27,108.27,108.27,-,-,-,-,-,-,-,-,-,-,103.06,103.13,103.19,-,-,-,-,-,-,-,-,-,-,110.05,113.43,113.43,-,-,-,-,-,-,-,-,-,-,103.6,103.6,103.6,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,105.96,106.03,106.06,-,-,-,-,-,-,-,-,-,-,102.34,102.65,102.65,-,-,-,-,-,-,-,-,-,-,102.69,102.89,103.01,-,-,-,-,-,-,-,-,-,-,119.45,119.45,119.45,-,-,-,-,-,-,-,-,-,-,102.55,102.55,102.55,-,-,-,-,-,-,-,-,-,-
