150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,92.78,89.55,98.95,104.52,104.66,104.23,104.57,104.6,104.63,104.66,104.72,108.59,-,104.03,104.18,104.98,104.98,105.19,105.19,105.44,105.59,105.59,105.59,105.85,105.85,-,104.57,104.82,105.1,105,105.07,105.3,105.33,105.35,105.35,105.35,105.39,105.39,-,100,100,100,100,100,100,100,100,100,100,100,100,-,83.73,77.74,94.36,104.48,104.63,103.77,104.28,104.28,104.33,104.38,104.38,111.38,-
MEULABOH,94.26,88.46,95.95,104.52,104.76,104.72,104.7,104.69,104.7,104.77,104.83,105.13,-,104.62,104.62,104.62,104.62,105.25,105.25,105.25,105.25,105.25,105.25,105.25,105.43,-,105.84,106.23,106.25,106.25,106.27,106.02,105.9,105.86,105.91,106.3,106.64,106.64,-,110.55,110.55,110.55,110.55,110.55,110.55,110.55,110.55,110.55,110.55,110.55,110.55,-,80.33,66.92,84.02,103.59,103.59,103.59,103.59,103.59,103.59,103.59,103.59,104.13,-
KAB ACEH TAMIANG,82.09,78.49,93.41,99.53,99.52,99.43,99.29,99.3,99.43,99.52,99.53,100.69,-,101.76,101.76,101.76,101.76,101.76,101.76,101.76,101.76,103.09,103.09,103.09,103.09,-,97.66,97.89,97.89,97.5,97.45,97.04,96.42,96.48,96.48,96.91,96.94,96.94,-,100,100,100,100,100,100,100,100,100,100,100,100,-,69.94,63.69,89.23,99.84,99.84,99.84,99.84,99.84,99.84,99.84,99.84,101.82,-
KOTA BANDA ACEH,97.51,93.94,100.6,105.96,106.16,106.15,106.15,106.15,106.13,106.13,106.13,108.2,-,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,-,100.82,100.72,100.72,100.57,102.87,102.74,102.74,102.75,102.57,102.57,102.58,102.75,-,143.14,143.14,143.14,143.14,143.14,143.14,143.14,143.14,143.14,143.14,143.14,143.14,-,77.29,67.29,85.99,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,106.83,-
KOTA LHOKSEUMAWE,94.83,92.31,97.99,103.53,103.41,103.41,103.48,103.48,103.39,103.43,103.44,103.48,-,105.5,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,107.59,-,97.59,98.97,98.35,98.35,97.77,97.77,98.11,98.11,97.63,97.86,97.91,98.11,-,100,100,100,100,100,100,100,100,100,100,100,100,-,78.78,67.77,85.01,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,-
KAB LABUHANBATU,91.98,88.16,95.85,102.13,103.46,103.65,103.71,103.74,103.74,104.03,102.34,103.79,-,100,100,100,100.94,100.94,100.94,100.94,100.94,100.94,100.94,100.94,105.36,-,102.64,102.94,102.69,101.64,101.7,101.67,101.76,101.84,101.86,102.04,102.04,101.86,-,102.17,102.17,102.17,103.42,103.42,103.42,104.55,104.92,104.92,104.92,104.92,104.92,-,84.45,77.28,91.66,102.81,105.29,105.64,105.64,105.64,105.65,106.17,103.01,103.01,-
KAB KARO,94.47,89.91,95.87,102.57,102.95,102.99,102.97,103.1,103.19,103.58,103.6,103.68,-,109.13,109.13,109.13,109.27,109.27,109.27,109.27,109.27,109.57,110.66,110.66,110.66,-,103.29,103.29,103.29,103.29,108.03,108.58,108.31,109.95,109.81,109.89,110.17,111.15,-,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,101.08,-,80.78,71.13,83.74,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83,-
