90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,103.77,103.81,103.72,103.85,103.97,104.16,104.15,104.42,104.96,105.24,105.55,105.79,-,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,-,108.09,108.29,107.86,108.22,108.83,109.76,109.71,111.09,113.78,115.15,116.73,117.9,-,100,100,100,100,100,100,100,100,100,100,100,100,-,102.22,102.22,102.22,102.38,102.38,102.38,102.38,102.38,102.38,102.38,102.38,102.38,-
KOTA BANDA ACEH,101.59,101.87,101.86,101.96,101.98,102.01,102.04,102.08,102.64,102.67,103.09,103.34,-,101.93,101.93,101.93,101.93,101.93,101.93,101.93,101.98,102.98,102.98,103.68,103.68,-,113.1,116.63,116.55,117.83,118.03,118.38,118.79,118.85,119.24,119.58,120.02,120.84,-,100,100,100,100,100,100,100,100,100,100,100,100,-,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.96,-
KOTA LHOKSEUMAWE,101.6,102.11,102.01,102.01,102.1,102.1,102.34,102.63,102.63,102.83,102.83,102.95,-,100.63,100.63,100.63,100.63,100.63,100.63,101.05,101.4,101.4,101.4,101.4,101.4,-,107.47,110.14,109.62,109.62,110.06,110.06,110.11,110.6,110.6,111.66,111.66,112.28,-,100,100,100,100,100,100,100,100,100,100,100,100,-,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,-
KOTA SIBOLGA,100.53,100.53,100.53,100.52,100.52,100.52,100.68,100.68,100.81,100.89,100.89,100.89,-,102.39,102.39,102.39,102.39,102.39,102.39,102.81,102.81,103.15,103.15,103.15,103.15,-,107.29,107.29,107.29,107.12,107.12,107.12,107.12,107.12,107.12,108.53,108.69,108.69,-,100,100,100,100,100,100,100,100,100,100,100,100,-,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,97.79,-
KOTA PEMATANG SIANTAR,100.16,100.45,100.43,100.33,100.4,100.4,100.4,100.43,100.74,100.77,100.93,101.09,-,103.38,103.38,103.38,103.38,103.38,103.38,103.38,103.38,103.38,103.38,103.55,103.56,-,101.04,103.79,103.79,103.69,104.37,104.4,104.4,104.64,107.47,107.81,108.8,110.33,-,100,100,100,100,100,100,100,100,100,100,100,100,-,97.93,97.93,97.86,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,-
KOTA MEDAN,102.2,102.2,102.2,102.2,102.22,102.59,102.59,102.59,102.73,102.73,103.07,103.17,-,103.38,103.38,103.38,103.38,103.38,103.98,103.98,103.98,104.15,104.15,104.75,104.81,-,105.78,105.8,105.74,105.7,105.89,106.46,106.45,106.45,107.15,107.15,107.26,108.13,-,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,100.22,-,99.5,99.5,99.5,99.5,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.54,-
KOTA PADANGSIDIMPUAN,101.36,100.42,100.05,100.34,100.4,100.4,100.24,100.55,100.44,100.44,100.56,101.07,-,104,104,104,104,104,104,104,104,104,104,104.38,104.38,-,104.84,104.84,104.76,104.76,104.76,104.76,104.76,104.47,104.47,104.47,104.47,107.06,-,102.09,102.09,102.09,102.09,102.09,102.09,102.09,102.09,102.09,102.09,102.09,102.09,-,97.58,95.33,94.46,95.16,95.32,95.32,94.92,95.8,95.55,95.55,95.55,95.55,-
