150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,124.24,122.7,120.54,-,-,-,-,-,-,-,-,-,-,120.71,118.3,115.5,-,-,-,-,-,-,-,-,-,-,124.72,125.75,126.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139.54,141.14,141.14,-,-,-,-,-,-,-,-,-,-
MEULABOH,115.9,117.17,116.84,-,-,-,-,-,-,-,-,-,-,115.33,116.79,116.37,-,-,-,-,-,-,-,-,-,-,108.68,108.68,108.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.65,120.31,120.31,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,124.93,120.6,121.47,-,-,-,-,-,-,-,-,-,-,123.97,118.51,119.04,-,-,-,-,-,-,-,-,-,-,109.18,109.18,110.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135.93,135.93,138.32,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,118.11,119.12,119.31,-,-,-,-,-,-,-,-,-,-,118.26,119.37,119.59,-,-,-,-,-,-,-,-,-,-,103.95,103.44,103.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126.77,127.77,127.82,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,120.11,119.3,119.79,-,-,-,-,-,-,-,-,-,-,120.03,119.06,119.65,-,-,-,-,-,-,-,-,-,-,106.84,106.84,106.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125.79,125.79,125.79,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,114.85,116.45,114.57,-,-,-,-,-,-,-,-,-,-,113.09,115.08,112.42,-,-,-,-,-,-,-,-,-,-,116.68,116.68,117.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123.67,123.67,124.9,-,-,-,-,-,-,-,-,-,-
KAB KARO,113.52,113.25,112.45,-,-,-,-,-,-,-,-,-,-,113.08,112.74,111.74,-,-,-,-,-,-,-,-,-,-,96.1,96.24,96.3,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,118.43,118.43,118.43,-,-,-,-,-,-,-,-,-,-
