150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEDAN,114.04,112.97,112.62,112.98,111.21,110.63,112.62,116.82,118.14,116.84,115.42,120.34,-,113.78,112.5,112.09,112.43,110.3,109.59,111.89,116.81,118.35,116.77,115.1,120.88,-,105.68,105.9,105.99,107.02,107.22,107.42,107.55,107.39,107.19,107.49,107.21,107.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.18,122.19,122.19,122.2,122.51,122.64,122.93,123.39,123.58,123.89,124.03,124.15,-
KOTA PADANGSIDIMPUAN,113.11,113.27,113.33,115.33,113.32,112.28,113.37,116.13,120.33,118.6,115.74,119.25,-,112.45,112.58,112.65,114.81,112.27,110.91,112.01,115.44,120.56,118.34,114.75,119.12,-,107.66,108.01,108.16,108.64,108.71,108.85,108.75,109.1,109.37,109.37,109.33,109.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116.97,117.23,117.24,118.81,118.82,119.09,120.29,120.42,121.04,121.28,121.29,121.47,-
KOTA GUNUNGSITOLI,111.19,109.01,107.77,108.55,107.53,106.28,106.64,110.15,112.26,110.48,110.45,127.85,-,111.66,109.01,107.35,108.26,107.07,105.6,106.02,110,112.41,110.25,110.18,130.33,-,107.38,109.01,109.01,109.01,109.01,109.38,109.38,109.77,109.77,111.05,111.07,110.8,-,93.51,93.51,93.51,94.63,94.63,94.63,94.63,94.63,91.81,91.81,91.81,91.81,-,109.59,109.59,112.49,112.49,112.49,112.49,112.49,113.15,113.53,113.53,114.09,114.09,-
KAB DHARMASRAYA,114.23,113.51,113.25,115,112.65,112.62,114.71,116.62,118.85,117.79,116.39,119.75,-,115.45,114.37,114,116.21,113.12,113.02,115.66,118.06,120.87,119.54,117.77,122,-,107.34,107.57,107.57,107.57,107.99,108.03,108.03,108.03,108.03,108.03,108.03,108.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110.06,110.84,111.03,111.03,111.48,111.79,111.79,111.79,111.8,111.8,111.8,111.8,-
KAB PASAMAN BARAT,116.85,117.36,114.85,118.88,112.23,111.47,114.22,116.91,120.72,121.38,119.21,125.51,-,115.31,115.84,112.6,117.63,109.16,107.99,111.43,114.73,119.56,120.4,117.65,125.63,-,100.83,99.96,100.03,100.08,100.08,100.08,100.13,100.13,99.93,99.93,99.93,99.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127.79,128.53,128.84,129.1,129.42,130.35,130.57,131.03,131.03,131.03,131.03,131.03,-
KOTA PADANG,113.11,112.92,112.86,114.39,112.16,110.67,112.22,113.55,115.06,116.04,115.66,119.55,-,112.67,112.37,112.24,114.06,111.23,109.32,110.93,112.49,114.4,115.59,115.05,119.92,-,106.09,106.64,107.3,108.47,108.56,108.34,108.51,108.83,108.5,108.5,108.65,108.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.36,118.42,118.45,118.56,118.59,118.75,120.6,121.15,121.32,121.59,121.8,122.11,-
KOTA BUKITTINGGI,111.78,111.2,111.49,113.56,111.03,109.62,111.23,112.92,116.31,116.12,114.42,116.88,-,111.08,110.28,110.62,113.11,109.96,108.12,110.04,112.07,116.2,115.96,113.82,116.88,-,105.82,105.88,106.04,106.68,106.68,106.9,106.98,107.05,107.05,107.13,107.45,107.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.14,118.53,118.57,118.82,118.87,119.14,119.63,120.06,120.59,120.59,120.61,120.68,-
TEMBILAHAN,111.02,110.11,112.75,113.51,112.44,111.68,112.88,113.44,117.55,117.21,116.14,118.28,-,110.15,109.01,112.16,113.05,111.72,110.7,112.07,112.61,117.52,117.08,115.79,118.37,-,108.39,108.61,109.23,109.47,109.55,109.44,109.43,109.86,110,110.07,110.07,110.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.17,118.35,118.36,118.37,118.64,119.4,119.93,120.71,120.9,121.08,121.09,121.09,-
KAB KAMPAR,113.18,111.22,111.34,113.73,109.36,108.07,110.79,113.37,117.07,114.63,113.57,118.34,-,111.76,109.26,109.27,112.14,106.7,105.05,108.22,111.24,115.77,112.78,111.46,117.33,-,102.85,102.85,104.49,105.95,106.32,105.62,107.07,107.07,107.07,104.92,104.92,104.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.52,122.93,123.32,123.4,123.47,123.86,124.6,125.51,125.78,126.09,126.09,126.3,-
KOTA PEKANBARU,109.86,109.63,110.08,111.6,109.15,108.34,109.79,111.77,114.84,114.12,113.09,115.71,-,108.83,108.5,109.05,110.89,107.87,106.84,108.41,110.83,114.52,113.6,112.28,115.49,-,104.72,105.04,105.06,105.38,105.3,105.49,106.17,106.26,106.31,106.39,106.39,106.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.56,118.74,118.74,118.79,118.85,118.9,119.94,120.07,120.67,120.84,121.11,121.11,-
KOTA DUMAI,113.08,112.06,111.81,113.9,111.07,110.56,112.22,115.53,119.11,118.53,116.48,119.18,-,111.87,110.36,110.01,112.45,108.86,108.19,110.12,114,118.38,117.68,114.96,118.35,-,105.53,105.68,106.03,106.1,106.42,106.47,106.61,107.79,108.17,107.99,108.55,107.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125.06,126.51,126.56,127.45,127.85,128.05,128.76,129.62,129.81,129.81,130.57,130.77,-
KAB KERINCI,109.6,110.12,110.47,112.71,109.97,111.59,115.08,115.7,116.79,117.16,114.77,115.88,-,108.82,109.35,108.67,111.43,107.98,109.76,114.15,114.92,116.22,116.66,113.37,114.64,-,110.73,110.65,131.84,131.84,131.84,131.84,131.84,131.84,131.84,131.84,131.96,131.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112.93,113.53,114.72,114.97,114.97,116.22,116.26,116.29,116.65,116.74,118,118.55,-
MUARA BUNGO,112.26,111.37,112.28,114.66,112.59,111.62,113.94,115.09,116.12,115.7,114.76,116.42,-,110.18,108.82,109.9,112.53,109.82,108.53,111.46,112.76,113.91,113.16,111.86,113.96,-,112.09,112,112.36,115.27,115,115.27,115.2,114.47,114.51,114.75,115.12,114.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.5,123.7,123.93,124.93,125.51,125.74,125.8,126.66,127.35,128.4,128.92,128.92,-
KOTA JAMBI,114.19,113.54,113.88,114.75,112.33,112.03,113.35,113.64,116.04,114.23,115.02,117.07,-,113,112.19,112.54,113.45,110.58,110.18,111.74,112.09,114.89,112.61,113.26,115.67,-,121.79,121.56,121.5,121.86,121.86,121.42,121.32,121.32,121.58,121.57,121.66,121.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.9,120.49,121,121.78,121.85,122.5,122.54,122.54,122.76,123.91,126.41,126.48,-
KAB OGAN KOMERING ILIR,112.26,111.81,112.9,113.11,112.56,112.07,112.32,111.78,111.58,111.32,111.41,112.78,-,111.59,111.02,112.35,112.61,111.91,111.29,111.61,110.93,110.53,110.2,110.32,112.05,-,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117.37,117.37,117.62,117.62,117.62,117.62,117.62,117.62,118.29,118.29,118.29,118.29,-
KAB MUARA ENIM,115.07,113.08,114.59,115.92,113.38,113.23,113.4,113.93,114.53,113.7,113.7,115.29,-,113.18,110.74,112.59,114.12,110.97,110.77,110.98,111.64,112.37,111.52,111.52,113.47,-,159.67,159.67,159.67,162.17,162.93,163.19,163.19,163.19,163.19,159.2,159.2,159.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,114.99,114.99,114.99,114.99,114.99,114.99,114.99,114.99,114.99,114.99,114.99,114.99,-
KOTA PALEMBANG,113.17,112.29,113.66,114.17,113.61,113.63,114.07,113.61,114.3,114.1,114.13,115.17,-,112.5,111.46,113.06,113.7,112.93,112.95,113.43,112.87,113.47,113.17,113.2,114.41,-,108.55,108.74,108.65,107.94,109.97,109.92,110.08,110.25,110.17,110.88,110.78,110.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120.71,120.71,120.86,120.86,120.86,120.93,121.08,121.17,122.93,123.1,123.19,123.28,-
KOTA LUBUK LINGGAU,108.06,108.63,109.78,109.76,108.59,108.68,108.98,109.26,109.58,108.87,108.62,109.53,-,106.74,107.38,108.68,108.59,107.06,107.11,107.41,107.64,107.87,106.97,106.64,107.73,-,120.07,120.46,121.57,122.97,123.19,123.19,122.76,122.76,122.73,123.8,123.82,123.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.06,113.17,113.3,113.36,114.13,114.5,115.02,115.74,116.74,116.79,116.95,117,-
KAB MUKO MUKO,106.27,105.14,105.43,107.51,106.47,104.72,106.55,107.33,110.38,110.4,109.76,110.59,-,103.68,102.24,102.61,105.26,103.93,101.7,103.72,104.55,108.43,108.45,107.51,108.55,-,125.18,125.18,125.18,125.18,125.18,125.18,126.38,126.42,126.42,126.42,127.19,127.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.99,113.99,113.99,113.99,113.99,113.99,115.12,115.85,115.87,115.87,116.29,116.36,-
