90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,105.12,106.13,106.49,110.96,111.41,111.52,112.56,112.7,123.47,124.86,124.9,124.98,-,108.92,110.98,110.98,114.14,114.14,114.14,113.78,114.51,114.51,115.07,115.06,115.13,-,101.83,101.89,102,104.68,104.68,104.78,105.06,105.15,125.44,127.57,127.64,127.75,-,104.08,105.22,109.3,131.2,136.73,137.43,150.93,148.3,160.74,162.05,162.05,162.05,-,108.89,108.89,102.84,112.15,112.15,112.15,105.53,105.53,107.86,110.63,112.64,112.64,-
KOTA BANDA ACEH,111.99,114.17,112.91,116.72,118.02,115.41,119.68,120.69,129.54,128.87,128.95,128.91,-,110.42,111.62,111.62,112.27,112.18,112.18,112.63,112.7,112.7,112.7,112.7,112.7,-,105.31,105.35,105.51,107.98,108.17,108.43,108.48,109.66,126.93,127.97,127.92,128.48,-,141.63,154.69,144.61,161.94,171.19,150.61,181.23,184.06,183.62,174.62,175.4,172.92,-,129.18,129.18,129.18,129.18,129.18,129.18,129.18,129.18,129.18,129.18,129.18,129.18,-
KOTA LHOKSEUMAWE,105.38,106.29,106.57,111.95,114.21,114.06,116.68,116.27,126.38,126.59,126.58,126.68,-,103.07,105.39,105.35,106.81,107.36,106.81,106.48,106.49,106.49,106.49,106.49,106.49,-,104.33,104.5,104.55,107.57,107.61,107.61,107.79,107.94,121.03,121.39,121.37,121.53,-,113.51,115.21,116.97,138.54,152.69,152.61,170.11,166.69,181.04,181.04,181.04,181.04,-,100,100,100,94.29,94.29,94.29,94.29,94.29,111.43,111.43,111.43,111.43,-
KOTA SIBOLGA,103.43,102.34,102.56,104.48,105.26,103.19,104.9,105.11,116.74,117.33,117.34,117.44,-,101.67,101.67,101.67,101.67,101.67,101.67,101.7,101.7,102.18,102.69,102.69,102.7,-,103.95,103.95,104.37,104.86,105.03,105.2,105.2,105.41,121.35,122.19,122.23,122.35,-,104.78,98.68,98.7,108.01,111.91,99.89,109.38,109.94,128.95,128.97,128.95,129.17,-,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,-
KOTA PEMATANG SIANTAR,102.77,102.67,102.56,102.71,102.96,104.31,104.42,104.8,119.73,120.32,120.31,120.33,-,103.5,103.5,103.5,103.65,104.09,109.04,109.27,110.26,110.26,110.29,110.29,110.29,-,103.34,103.11,102.88,103.11,103.4,103.4,103.5,103.74,125.27,126.54,126.51,126.56,-,101,101,101,101,101,101,101,101,119.89,119.89,119.89,119.89,-,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,-
KOTA MEDAN,105.43,104.28,104.71,106.82,108.22,110.52,112.25,111.73,124.5,124.84,124.29,124.87,-,106.84,108.13,109.34,108.9,108.8,109.15,109.71,110.35,110.72,110.82,110.88,110.88,-,104.1,104.19,104.31,106.12,106.12,106.53,106.63,106.81,126.14,126.9,126.86,126.96,-,107.64,103.12,103.92,107.51,112.31,119.15,124.65,122.28,125.93,125.48,123.68,125.43,-,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,-
KOTA PADANGSIDIMPUAN,101.52,102.32,102.61,103.11,103.2,103.86,104.06,104.13,118.75,119.38,119.35,119.29,-,102.15,102.9,102.9,103.01,103.06,105.96,105.96,105.96,105.98,105.98,105.98,105.72,-,106.09,106.2,106.78,107.69,107.84,107.84,108.1,108.1,127.83,128.78,128.73,128.73,-,91.44,93.69,93.69,93.69,93.69,93.69,93.93,94.22,111.71,112.3,112.3,112.3,-,117.64,117.64,117.64,117.64,119.03,119.03,119.03,119.03,119.03,119.03,119.03,119.03,-
