150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB PASAMAN BARAT,116.07,115.82,117.32,-,-,-,-,-,-,-,-,-,-,110.33,111.24,112.01,-,-,-,-,-,-,-,-,-,-,116.92,116.44,117.09,-,-,-,-,-,-,-,-,-,-,124.23,123.16,139.94,-,-,-,-,-,-,-,-,-,-,114.64,114.64,114.64,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,113.92,113.66,113.87,-,-,-,-,-,-,-,-,-,-,116.25,116.41,116.69,-,-,-,-,-,-,-,-,-,-,112.27,111.8,112.51,-,-,-,-,-,-,-,-,-,-,113.47,112.87,111,-,-,-,-,-,-,-,-,-,-,126.5,126.5,126.5,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,118.05,117.76,118.02,-,-,-,-,-,-,-,-,-,-,118.13,118.16,118.95,-,-,-,-,-,-,-,-,-,-,113.03,112.67,113.72,-,-,-,-,-,-,-,-,-,-,131.3,130.68,128.15,-,-,-,-,-,-,-,-,-,-,114.6,114.6,114.6,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,113.05,112.25,113.48,-,-,-,-,-,-,-,-,-,-,116.1,114.14,114.87,-,-,-,-,-,-,-,-,-,-,110.11,110.05,110.1,-,-,-,-,-,-,-,-,-,-,116.51,116.51,125.53,-,-,-,-,-,-,-,-,-,-,102.92,102.92,102.92,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,111.17,111.21,111.49,-,-,-,-,-,-,-,-,-,-,105.28,106.04,106.04,-,-,-,-,-,-,-,-,-,-,113.94,113.68,113.88,-,-,-,-,-,-,-,-,-,-,100,100,110.79,-,-,-,-,-,-,-,-,-,-,103.28,103.28,103.28,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,114.09,113.89,113.27,-,-,-,-,-,-,-,-,-,-,114.14,113.99,114.38,-,-,-,-,-,-,-,-,-,-,113.46,113.01,113.34,-,-,-,-,-,-,-,-,-,-,117.2,118.07,109.9,-,-,-,-,-,-,-,-,-,-,111.84,111.84,111.84,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,115.99,115.96,115.8,-,-,-,-,-,-,-,-,-,-,118.52,119.6,117.16,-,-,-,-,-,-,-,-,-,-,114.4,113.64,114.04,-,-,-,-,-,-,-,-,-,-,115.77,115.57,123.42,-,-,-,-,-,-,-,-,-,-,113.21,114.29,114.29,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,112.25,111.44,113,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,113.37,112.29,113.25,-,-,-,-,-,-,-,-,-,-,132.78,132.78,145.37,-,-,-,-,-,-,-,-,-,-,105.88,105.88,105.88,-,-,-,-,-,-,-,-,-,-
MUARA BUNGO,108.48,109.3,109.45,-,-,-,-,-,-,-,-,-,-,103.69,104.64,104.64,-,-,-,-,-,-,-,-,-,-,112.76,112.15,112.97,-,-,-,-,-,-,-,-,-,-,104.81,112.37,109.76,-,-,-,-,-,-,-,-,-,-,100.54,100.54,100.54,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,111.73,111.98,112.4,-,-,-,-,-,-,-,-,-,-,107.34,108.66,108.66,-,-,-,-,-,-,-,-,-,-,113.47,112.94,113.53,-,-,-,-,-,-,-,-,-,-,115.97,117.12,117.96,-,-,-,-,-,-,-,-,-,-,100.77,100.77,100.77,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,111.66,111.21,111.56,-,-,-,-,-,-,-,-,-,-,100.8,100.8,100.8,-,-,-,-,-,-,-,-,-,-,112.52,111.86,112.37,-,-,-,-,-,-,-,-,-,-,133.78,133.78,133.78,-,-,-,-,-,-,-,-,-,-,108.33,108.33,108.33,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,113.03,112.5,114.07,-,-,-,-,-,-,-,-,-,-,101.49,101.72,101.72,-,-,-,-,-,-,-,-,-,-,116.95,116.03,116.81,-,-,-,-,-,-,-,-,-,-,117.8,117.8,127.58,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
