90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,104.65,104.1,104.3,104.3,104.46,104.51,104.53,104.56,104.61,104.63,104.74,105.06,-,107.78,107.98,108.39,108.39,108.39,108.39,108.39,108.45,108.45,108.45,108.72,108.92,-,101.2,101.23,101.27,101.27,101.39,101.48,101.54,101.54,101.65,101.68,101.68,101.7,-,108.13,100.08,100.08,100.08,101.39,101.39,101.39,101.39,101.39,101.39,101.39,104.08,-,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,-
KOTA BANDA ACEH,104.25,104.43,104.56,104.6,105.03,105.8,105.93,105.93,106.74,107.3,109.67,111.72,-,106.13,106.13,106.13,106.16,106.16,107.37,107.5,107.5,108.04,108.04,108.4,108.59,-,104.09,104.09,104.09,104.32,104.37,104.41,104.58,104.58,104.65,105.15,105.13,105.13,-,99.7,101.06,102.03,101.33,104.34,106.8,106.8,106.8,111.17,113.45,130.37,145.13,-,121.26,121.26,121.26,121.26,121.26,121.26,121.26,121.26,121.26,121.26,121.26,129.18,-
KOTA LHOKSEUMAWE,104.77,104.74,103.56,103.71,104.04,103.8,103.61,103.71,103.76,103.86,104.13,105,-,99.7,102.8,101.75,101.31,100.53,100.53,100.85,100.85,100.85,101.18,101.24,101.52,-,102.97,103.51,103.58,103.58,104.03,104.03,104.02,104.19,104.27,104.3,104.3,104.33,-,120.52,112.99,106.5,108.24,109.86,108.24,106.5,106.5,106.5,106.5,108.24,113.51,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KOTA SIBOLGA,101.77,101.55,101.34,101.99,101.99,102,101.77,101.77,101.77,101.79,102.11,102.22,-,101.63,101.63,101.63,101.63,101.63,101.66,101.67,101.67,101.67,101.67,101.67,101.67,-,102.61,102.61,102.61,103.91,103.91,103.91,103.91,103.91,103.91,103.95,103.95,103.95,-,99.34,98.1,96.9,96.9,96.9,96.9,95.58,95.58,95.58,95.58,97.41,97.98,-,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,-
KOTA PEMATANG SIANTAR,101.7,101.7,101.7,102.59,102.59,102.59,102.6,102.6,102.63,102.65,102.65,102.77,-,103.46,103.46,103.46,103.46,103.46,103.46,103.5,103.5,103.5,103.5,103.5,103.5,-,101.05,101.05,101.05,102.98,102.98,102.98,102.98,102.98,103.02,103.07,103.07,103.34,-,101,101,101,101,101,101,101,101,101,101,101,101,-,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,-
KOTA MEDAN,102.21,102.02,102.03,102.86,103.14,103.01,103.22,103.2,103.3,103.47,104.76,104.88,-,106.01,106.01,105.99,105.99,107.43,107.37,106.03,106.52,105.76,106.22,106.22,106.22,-,101.46,101.46,101.46,102.79,102.79,102.83,102.84,102.84,103.34,104.1,104.1,104.1,-,102.37,101.72,101.77,101.88,102.35,101.86,102.98,102.76,102.32,101.18,105.56,105.97,-,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,-
KOTA PADANGSIDIMPUAN,101.52,101.42,101.09,101.6,101.87,100.91,100.91,100.88,100.88,100.89,101.03,101.52,-,102.99,103.16,101.67,101.67,101.67,101.67,101.67,101.52,101.52,101.53,102.13,102.15,-,103.64,103.69,103.72,105.04,105.06,105.13,105.12,105.12,105.13,105.16,105.16,106.1,-,95.66,95.02,95.02,94.34,95.34,91.44,91.44,91.44,91.44,91.44,91.44,91.44,-,117.64,117.64,117.64,117.64,117.64,117.64,117.64,117.64,117.64,117.64,117.64,117.64,-
