150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,112.14,112.79,112.61,112.78,113.03,112.73,113.32,112.99,112.99,112.99,112.99,112.99,-,101.41,101.41,99.48,99.46,99.46,99.24,99.34,99.36,99.39,99.39,99.39,99.39,-,113.26,114.04,114.07,114.27,114.57,114.24,114.93,114.53,114.54,114.54,114.54,114.54,-,117.66,117.66,117.66,117.66,117.66,117.63,117.66,117.66,117.66,117.66,117.66,117.66,-,100,100,100,100,100,100,100,100,100,100,100,100,-
MEULABOH,113.28,113.86,113.37,113.41,113.39,113.12,113.44,113.25,113.3,113.75,113.72,113.77,-,107.92,108.96,109.42,109.42,109.42,109.28,109.31,109.31,109.46,109.46,109.5,109.53,-,114.63,115.09,115.08,114.97,114.88,114.53,114.99,114.72,114.74,115.82,116.15,116.15,-,119.21,119.21,110.03,111.52,112.16,112.16,112.16,112.16,112.16,107.52,103.37,104,-,107.35,109.15,109.15,113.4,113.4,113.4,113.4,113.4,113.4,113.57,113.57,113.57,-
KAB ACEH TAMIANG,112.7,113.02,113.02,112.95,112.84,112.77,113.25,113.05,113.04,113.08,113.18,113.18,-,107.96,108.21,108.24,108.24,107.99,107.99,107.99,107.99,107.99,108.15,108.15,108.15,-,113.69,114.03,114.02,113.94,113.86,113.78,114.35,114.1,114.1,114.11,114.23,114.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KOTA BANDA ACEH,108.65,110.14,110.27,110.56,110.77,110.37,110.43,110.05,110.04,110.77,111.17,111.25,-,106.5,109.67,111.14,111.14,111.14,111.05,111.05,111.05,110.83,110.85,110.71,110.65,-,112.78,113.4,113.38,113.26,113.11,112.67,113.26,112.92,112.96,112.97,112.97,112.97,-,92.41,94.87,92.86,95.85,98.3,97.48,94.93,93.53,93.75,99.68,103.25,104,-,108.04,108.04,108.04,108.04,108.04,108.04,108.04,108.04,108.04,108.04,108.04,108.04,-
KOTA LHOKSEUMAWE,111.87,112.22,111.97,111.59,111.85,112.23,112.94,112.51,112.5,112.69,112.92,113.34,-,109.58,109.58,109.78,109.78,109.78,109.82,109.82,110.01,110.01,110.2,111.72,112.92,-,111.97,112.42,112.33,112.25,112.14,111.92,112.28,112.06,112,112,112.01,112.25,-,114.33,114.33,111.99,108.39,112.37,118.65,123.62,120.29,120.79,122.62,123.23,124.21,-,109.86,109.86,109.86,109.86,109.86,109.86,109.86,109.86,109.86,109.86,109.86,109.86,-
KAB LABUHANBATU,114.52,114.81,114.84,114.56,114.6,114.45,114.71,115.02,114.95,115.27,115.27,115.46,-,109.9,110.54,110.54,110.54,110.68,110.68,110.68,113.16,113.16,113.64,113.64,113.64,-,114.96,115.2,115.05,114.84,114.91,114.8,115.13,114.96,114.95,115.11,115.11,115.3,-,131.16,131.16,136.27,132.05,130.9,128.73,128.73,129.78,127.38,131.47,131.47,132.81,-,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,111.8,-
KAB KARO,111.57,111.7,111.69,111.71,111.82,111.77,111.83,111.79,111.79,111.79,111.88,111.88,-,103.22,103.83,103.83,104.68,105.91,105.91,105.91,105.91,105.91,105.91,106.8,106.8,-,114.61,114.7,114.68,114.61,114.59,114.52,114.6,114.56,114.56,114.56,114.56,114.56,-,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,-,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,-
