90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BUKITTINGGI,127.65,128.02,128.46,130.23,128.75,128.1,128.24,128.34,129.32,130.2,129.84,129.78,-,110.92,111.73,111.8,112.81,112.9,113.69,113.77,113.77,113.86,114.21,114.56,114.56,-,127.34,127.57,128.38,129.41,128.34,126.63,126.85,127.04,128.9,130.41,129.51,129.4,-,154.29,154.29,154.29,159.29,154.29,154.29,154.29,154.29,154.29,154.29,154.29,154.29,-,113.83,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,116.97,-
TEMBILAHAN,115.54,115.98,116.02,118.05,116.86,116.85,118.07,118.22,118.3,118.42,118.36,118.35,-,113.65,114.62,114.62,115.97,116.11,116.27,119.13,119.43,119.43,119.62,119.62,119.62,-,119,119.09,119.19,119.27,119.27,119.09,119.17,119.22,119.42,119.51,119.37,119.36,-,111,111,111,120.55,112.25,112.25,112.25,112.25,112.25,112.25,112.25,112.25,-,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,-
KOTA PEKANBARU,121.15,120.87,121.14,123.54,122.64,122.03,123.04,122.79,123.18,124.1,124.1,125.1,-,111.64,113.25,114.06,114.52,115.61,116.49,116.49,116.57,116.67,117.15,117.18,117.59,-,125.86,126.18,126.31,126.69,126.74,126.27,126.43,126.55,127.18,127.47,127.11,127.08,-,120.78,115.08,114.96,127.9,120.22,116.54,122.31,120.14,120.2,124.11,125.36,131.06,-,115.45,117.25,117.25,117.25,117.25,117.25,117.25,117.25,117.25,117.25,117.25,117.25,-
KOTA DUMAI,120.34,120.87,121.16,121.67,121.71,121.27,123.69,123.78,124.88,125.06,125.19,125.34,-,117.46,118.35,118.53,118.53,119.19,119.38,125,125,125.01,125.01,125.91,126.07,-,124.61,124.93,125.41,125.36,125.36,124.6,124.83,125.02,127.46,127.87,127.33,127.51,-,115.27,115.38,115.38,119.23,117.53,116.25,116.25,116.25,116.25,116.25,116.25,116.25,-,109.01,109.63,109.63,111.88,111.88,111.88,111.88,111.88,111.88,111.88,111.88,111.88,-
BUNGO,120.81,120.59,120.85,122.08,120.17,120.53,120.61,120.65,120.4,120.71,120.53,120.78,-,110.05,110.07,110.07,110.22,110.21,110.21,110.21,110.21,110.21,110.21,110.21,110.21,-,123.26,123.48,124.01,124.06,124.11,123.39,123.55,123.61,124.7,125.29,124.95,124.9,-,136.15,133.82,133.75,141.46,128.57,133.46,133.46,133.46,128.07,128.07,128.02,129.91,-,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,101.49,-
KOTA JAMBI,122.97,123.31,122.88,124.79,126.89,123.26,125.13,125.31,125.84,126.96,127.67,128.24,-,115.13,116.35,116.35,116.67,116.83,116.99,117.01,117.49,117.49,117.49,117.55,117.55,-,122.19,122.2,122.68,122.66,122.65,121.85,121.91,121.96,122.89,123.59,123.66,123.7,-,140.12,139.79,135.75,146.61,158.82,139.4,150.31,150.32,150.64,155.1,158.96,162.28,-,111.26,111.26,111.26,111.26,111.26,111.72,111.72,111.72,111.72,114.09,114.09,114.09,-
KOTA PALEMBANG,118.06,117.79,118.53,120.69,118.28,118.46,118.88,119.3,119.32,119.65,119.58,120.14,-,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,-,120.84,121,121.3,121.28,121.27,120.64,120.69,120.76,121.46,121.95,121.66,121.62,-,117.82,116.17,118.72,128.39,117.7,120.15,121.89,123.6,121.82,122.01,122.44,125.03,-,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,-
KOTA LUBUKLINGGAU,122.41,122.38,122.74,123.6,122.57,122.54,122.87,123.2,123.14,123.37,123.44,124.03,-,113.74,114.69,114.28,114.71,114.67,114.99,116.24,116.92,117.01,117.08,117.23,117.19,-,124.48,124.66,124.8,124.78,124.78,124.4,124.47,124.54,125.09,125.34,125.15,125.7,-,127.58,125.66,127.68,131.71,126.25,126.8,126.77,127.48,125.39,125.75,126.54,128.04,-,109.44,109.44,109.44,110.67,112.01,112.01,112.01,112.01,112.01,112.01,112.01,112.01,-
KOTA BENGKULU,121.96,122.22,122.97,124.22,123.36,123.18,124.49,124.92,125.27,125.47,125.51,125.64,-,119.77,120.44,120.7,121.39,121.12,121.18,121.33,121.72,121.72,121.72,121.76,121.76,-,126.39,126.59,126.99,127.03,127.02,126.42,127.35,127.58,128.32,128.86,128.81,128.74,-,111.95,111.33,114.47,121.07,115.99,116.61,121.97,123.12,123.07,122.63,122.92,124.06,-,147.31,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72,149.72,-
KOTA BANDAR LAMPUNG,121.83,122.06,122.27,123.11,121.3,121.28,120.49,120.48,121.06,121.55,122.13,122.12,-,111.18,111.92,112.15,112.15,112.15,112.65,112.65,112.65,112.64,112.64,112.73,112.73,-,124.63,124.63,125.23,125.76,125.21,124.66,124.73,124.77,125.78,126.6,127.1,127.04,-,132.95,132.95,131.94,135.28,126.39,126.98,122.15,121.98,122.37,122.8,124.53,124.65,-,116.17,116.17,116.17,116.17,116.17,116.17,116.17,116.17,116.17,116.17,116.17,116.17,-
